,limprep_cd150minus_C10,limprep_cd150minus_C12,limprep_cd150minus_C6,limprep_cd150minus_C9,limprep_cd150minus_D11,limprep_cd150minus_D12,limprep_cd150minus_D3,limprep_cd150minus_D4,limprep_cd150minus_D5,limprep_cd150minus_D8,limprep_cd150minus_D9,limprep_cd150plus_A10,limprep_cd150plus_A11,limprep_cd150plus_A3,limprep_cd150plus_A8,limprep_cd150plus_B11,limprep_cd150plus_B12,limprep_cd150plus_B3,limprep_cd150plus_B4,limprep_cd150plus_B9
ENSMUSG00000000001,1240,1915,867,296,0,165,1311,423,181,6,412,601,337,1225,172,1308,2,199,691,958
ENSMUSG00000000028,404,1296,1091,1648,0,6,1,251,126,418,0,0,0,0,104,0,0,0,0,653
ENSMUSG00000000037,62,155,238,20,0,0,0,52,61,0,52,0,0,0,0,0,0,0,0,17
ENSMUSG00000000056,366,267,222,504,0,70,0,23,94,82,162,0,0,381,34,192,1,0,154,0
ENSMUSG00000000058,0,0,0,0,0,0,1,0,0,0,1,0,102,14,0,0,1704,110,0,181
ENSMUSG00000000078,0,0,0,0,0,1800,796,37,0,0,0,0,0,228,99,126,307,0,0,2
ENSMUSG00000000085,0,266,116,404,0,329,0,0,0,65,0,0,0,0,0,392,2825,0,0,547
ENSMUSG00000000088,1905,1953,1541,421,187,45,245,642,212,1,590,0,0,635,305,232,0,379,320,934
ENSMUSG00000000093,0,3,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000000127,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,27,0,0
ENSMUSG00000000131,129,541,212,272,1,93,1186,189,219,0,3,0,2,0,121,216,356,0,0,174
ENSMUSG00000000134,406,79,242,28,0,2,425,133,0,22,0,0,0,28,0,0,0,1,0,26
ENSMUSG00000000142,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000148,69,63,256,73,145,3,449,0,33,0,0,0,0,0,6,40,2,0,0,113
ENSMUSG00000000149,646,673,1405,1488,327,928,1306,318,443,718,424,6,3,0,7,227,0,688,0,503
ENSMUSG00000000154,0,0,0,0,601,149,0,0,0,0,0,0,468,0,0,0,0,0,0,275
ENSMUSG00000000167,33,101,51,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000168,683,771,763,523,50,9,1,252,183,62,0,230,0,642,220,15,0,0,0,6
ENSMUSG00000000171,6472,7762,3613,4345,9,1841,532,1491,707,601,455,0,0,0,1834,350,941,1,1,1730
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,0,57,121,1,46,705,2,1,0,0,0,2,1000,499,284,951,1454,427,151,2161
ENSMUSG00000000194,312,99,119,102,114,0,1393,103,0,1,0,0,0,0,0,1,179,1,0,6
ENSMUSG00000000197,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000000204,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000000223,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000244,948,1035,865,696,2158,2316,708,118,0,0,136,298,293,182,500,1817,6913,1842,755,767
ENSMUSG00000000253,0,0,0,0,0,0,0,0,0,0,0,0,0,659,161,547,6,1033,0,47
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,297,0,0,617,636,0
ENSMUSG00000000275,403,330,310,180,171,4,0,167,59,0,679,840,8,510,0,143,107,342,0,287
ENSMUSG00000000276,155,671,35,28,328,0,0,1,0,167,1,2,0,0,0,0,139,0,2,935
ENSMUSG00000000278,148,0,1,19,0,454,218,0,218,0,0,1,2,0,39,237,0,0,0,23
ENSMUSG00000000282,149,96,50,77,0,259,0,88,0,0,0,40,0,0,28,255,22,0,0,112
ENSMUSG00000000290,42,3,11,0,0,0,0,12,0,0,0,1,0,0,10,2,0,1,0,5
ENSMUSG00000000295,64,35,108,496,0,19,0,0,305,0,358,0,52,973,0,322,1162,18,0,389
ENSMUSG00000000301,28,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000000308,0,0,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000317,0,0,0,0,1144,0,0,11,0,0,0,0,0,0,225,0,0,0,0,0
ENSMUSG00000000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
ENSMUSG00000000325,145,34,0,54,0,0,0,124,210,0,0,0,0,0,0,1,0,122,1,191
ENSMUSG00000000326,346,491,639,203,317,43,20,238,407,14,20,6,2,4,124,130,45,58,3,17
ENSMUSG00000000339,535,1076,468,67,0,6,0,52,0,108,1,0,0,1298,3,0,442,265,0,615
ENSMUSG00000000340,55,23,0,35,0,0,0,25,0,0,0,0,0,0,11,22,147,0,0,0
ENSMUSG00000000346,1171,2084,1155,1136,2506,2199,734,311,491,516,4238,214,26,2638,866,632,1934,738,100,507
ENSMUSG00000000355,245,43,179,178,8,51,85,78,41,22,695,131,15,657,19,147,677,99,0,306
ENSMUSG00000000359,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000000365,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ENSMUSG00000000374,453,143,191,56,0,0,0,6,106,19,0,0,9,0,157,184,0,296,148,0
ENSMUSG00000000378,277,549,50,174,0,31,674,117,24,61,0,102,8,615,17,1028,0,739,469,293
ENSMUSG00000000384,870,126,499,475,88,0,14,130,88,55,11,2,41,0,2,74,82,0,0,1
ENSMUSG00000000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0
ENSMUSG00000000392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
ENSMUSG00000000399,1119,1338,875,1128,508,66,297,536,155,568,0,0,3,0,0,0,2,0,0,252
ENSMUSG00000000409,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,117,102,0,0,63
ENSMUSG00000000420,719,1432,254,952,211,1,640,412,626,190,97,63,0,79,491,660,15,311,632,1274
ENSMUSG00000000439,190,3,11,0,266,10,0,2,0,3,12,0,12,0,0,0,0,0,0,0
ENSMUSG00000000440,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000441,1247,1464,640,888,1,402,433,135,23,0,557,0,173,1451,435,246,999,508,531,382
ENSMUSG00000000486,113,6,0,0,134,5,612,1,0,0,368,6,164,580,54,210,68,0,0,225
ENSMUSG00000000489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0
ENSMUSG00000000531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
ENSMUSG00000000532,0,0,0,0,0,52,273,0,0,0,3,43,5,325,12,6,0,577,0,22
ENSMUSG00000000538,24,0,0,0,3,172,341,0,88,1,87,0,0,10,0,0,271,0,0,1
ENSMUSG00000000552,0,4,155,0,36,2,0,2,0,0,0,0,0,0,1,10,1,17,0,6
ENSMUSG00000000555,137,19,186,74,0,0,0,127,64,0,0,0,17,20,9,80,0,0,0,14
ENSMUSG00000000561,747,2152,793,123,367,9,0,578,620,64,104,0,0,2364,498,550,582,4,367,700
ENSMUSG00000000563,5295,5263,5009,3029,937,931,1674,1290,1488,779,468,895,181,1997,558,1245,4174,1595,292,1838
ENSMUSG00000000567,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000568,4677,4168,1799,1592,766,563,528,857,966,434,3,366,100,1733,597,676,114,522,456,3095
ENSMUSG00000000579,14,13,8,1,1,23,4,11,1,6,0,1,0,7,4,45,3,0,0,60
ENSMUSG00000000581,1158,1611,346,1249,264,428,519,772,542,238,438,0,406,418,235,418,866,2,206,558
ENSMUSG00000000594,0,0,0,1,85,75,240,0,42,0,418,1,22,346,0,215,63,36,0,75
ENSMUSG00000000600,690,677,312,335,283,858,0,76,1,136,0,0,119,0,288,302,0,301,36,0
ENSMUSG00000000605,216,624,952,210,1360,2,309,320,869,1,360,32,0,0,60,283,0,539,0,337
ENSMUSG00000000617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000000628,0,0,0,0,0,0,0,0,0,0,0,31,0,567,0,0,0,95,0,99
ENSMUSG00000000631,392,314,565,273,0,620,0,11,178,2,236,19,0,46,0,15,441,0,155,124
ENSMUSG00000000632,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
ENSMUSG00000000682,0,0,0,0,80,0,146,0,0,0,1,0,0,0,1,29,0,0,0,1
ENSMUSG00000000686,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0
ENSMUSG00000000693,83,37,61,39,63,7,1,5,8,8,0,0,0,0,10,140,2,6,0,5
ENSMUSG00000000708,286,102,189,0,0,576,1,3,0,17,2271,0,0,2097,1,142,0,1,0,7
ENSMUSG00000000711,5,27,23,112,446,18,2,189,0,0,17,0,4,0,2,49,20,0,0,50
ENSMUSG00000000732,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,145
ENSMUSG00000000738,426,272,147,256,80,0,0,128,255,0,195,1,0,199,18,718,601,0,0,58
ENSMUSG00000000740,2654,1480,1881,1878,820,866,286,736,309,76,1511,331,585,1617,430,989,511,716,136,1937
ENSMUSG00000000743,546,492,140,1,208,242,0,339,242,0,61,19,716,0,27,3,1475,354,0,3
ENSMUSG00000000751,1144,167,296,760,0,89,0,116,208,204,1,0,0,5,242,8,0,0,0,777
ENSMUSG00000000753,0,0,0,0,7,5,0,0,0,0,0,434,0,0,0,9,0,0,0,189
ENSMUSG00000000759,1212,264,451,785,1,0,465,275,80,221,0,0,0,6,0,164,342,0,325,99
ENSMUSG00000000766,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
ENSMUSG00000000776,733,332,43,20,0,36,0,117,0,204,0,0,0,0,186,269,496,0,139,362
ENSMUSG00000000782,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000787,3781,2567,3675,4753,337,2680,3278,1844,715,279,3549,1861,356,1233,591,969,485,935,911,2130
ENSMUSG00000000791,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605
ENSMUSG00000000794,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000000804,576,95,869,118,1,569,0,111,2,28,0,0,0,950,0,244,290,0,0,43
ENSMUSG00000000811,67,318,267,0,0,8,0,0,0,0,250,7,0,49,0,355,0,0,0,6
ENSMUSG00000000823,94,92,241,208,1305,24,0,23,182,73,86,0,2,85,195,353,0,0,6,261
ENSMUSG00000000826,779,656,347,245,365,160,101,57,126,204,190,0,417,0,63,262,0,536,0,1517
ENSMUSG00000000827,1463,1149,879,369,131,1582,1336,780,398,162,2520,0,256,14,349,582,113,0,0,1153
ENSMUSG00000000838,642,1109,741,353,377,86,9,432,368,34,0,32,74,494,54,208,842,0,0,31
ENSMUSG00000000861,1436,1222,1995,1076,887,2218,3056,949,707,110,569,134,480,1941,60,951,1611,1363,242,558
ENSMUSG00000000869,0,0,0,0,0,0,0,0,0,2,0,0,0,6,10,0,526,0,0,0
ENSMUSG00000000876,27,76,111,60,0,1,0,21,2,0,0,0,1,0,1,59,1,134,0,6
ENSMUSG00000000881,0,0,0,112,28,0,5,0,0,0,0,3,0,1099,23,5,10,0,66,189
ENSMUSG00000000884,1,4,106,0,0,0,0,6,91,0,0,0,0,0,0,0,278,0,0,5
ENSMUSG00000000889,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,267,0,0,0,0
ENSMUSG00000000902,610,278,86,113,1,167,0,17,38,0,0,8,1,290,45,292,24,121,8,563
ENSMUSG00000000915,16,0,375,22,0,0,3,0,0,0,35,9,0,6,42,50,14,379,0,1
ENSMUSG00000000916,444,81,92,63,1,85,144,10,242,64,58,0,0,0,0,0,0,0,0,416
ENSMUSG00000000934,18,0,14,100,0,126,0,0,55,0,0,0,0,449,0,32,0,0,0,0
ENSMUSG00000000938,0,0,0,0,0,9,0,0,0,0,0,63,1,0,0,62,1107,0,0,0
ENSMUSG00000000948,0,1,0,0,0,81,0,1,0,0,0,0,190,0,0,0,0,0,0,1
ENSMUSG00000000957,70,98,62,0,0,0,0,25,31,13,0,0,0,0,0,0,0,0,0,0
